學校,完整正式校名,公立/私立,台南市行政區,109學年免試人數,109學年考取科學班人數,109學年第一志願錄取率,110學年免試人數,110學年考取科學班人數,110學年第一志願錄取率,111學年免試人數,111學年考取科學班人數,111學年第一志願錄取率,112學年免試人數,112學年考取科學班人數,112學年第一志願錄取率,113學年免試人數,113學年考取科學班人數,113學年第一志願錄取率,114學年免試人數,114學年考取科學班人數,114學年第一志願錄取率
崑山高中,臺南市私立崑山高級中等學校附設國中部,私立,北區,-,,-,-,,-,1,,0.5,-,,-,2,,0.333333333,-,,-
北門國中,臺南市立北門國民中學,公立,北門區,-,,-,1,,0.026315789,-,,-,-,,-,1,,0.058823529,-,,-
佳興國中,臺南市立佳興國民中學,公立,佳里區,-,,-,-,,-,2,,0.074074074,1,,0.043478261,1,,0.038461538,-,,-
大內國中,臺南市立大內國民中學,公立,大內區,-,,-,2,,0.042553191,1,,0.027027027,1,,0.028571429,1,,0.02173913,-,,-
東山國中,臺南市立東山國民中學,公立,東山區,-,,-,-,,-,2,,0.046511628,-,,-,-,,-,-,,-
光華國中,臺南市私立光華高級中學國中部,私立,東區,-,,-,-,,-,-,,-,2,,0.090909091,-,,-,-,,-
菁寮國中,臺南市立菁寮國民中學,公立,後壁區,-,,-,1,,0.055555556,-,,-,-,,-,-,,-,-,,-
黎明高中,臺南市私立黎明高級中學附設國中部,私立,麻豆區,-,,-,7,,0.021341463,6,,0.017595308,12,,0.03785489,-,,-,8,,-
鹽行國中,臺南市立鹽行國民中學,公立,永康區,-,,-,-,,-,-,,-,2,,0.039215686,9,,0.061643836,7,,0.053846154
九份子國中(小),臺南市立九份子國民中學,公立,安南區,-,,-,-,,-,-,,-,-,,-,6,,0.058823529,5,,0.058139535
學甲國中,臺南市立學甲國民中學,公立,學甲區,-,,-,-,,-,-,,-,1,,0.012195122,2,,0.035087719,2,,0.02247191
太子國中,臺南市立太子國民中學,公立,新營區,-,,-,-,,-,1,,0.016949153,1,,0.027777778,2,,0.076923077,1,,0.04
柳營國中,臺南市立柳營國民中學,公立,柳營區,-,,-,1,,0.041666667,-,,-,-,,-,1,,0.047619048,1,,0.076923077
建興國中,臺南市立建興國民中學,公立,中西區,200,,0.369685767,188,15.0,0.374538745,208,,0.347826087,162,15.0,0.332706767,156,18.0,0.323420074,178,20.0,0.336162988
復興國中,臺南市立復興國民中學,公立,東區,177,,0.209467456,179,2.0,0.213443396,167,,0.183920705,186,3.0,0.18694362,204,3.0,0.190257353,162,4.0,0.182618262
後甲國中,臺南市立後甲國民中學,公立,東區,129,,0.202511774,126,1.0,0.211666667,137,,0.210445469,151,2.0,0.223684211,153,3.0,0.218487395,162,2.0,0.261146497
民德國中,臺南市立民德國民中學,公立,北區,79,,0.141323792,70,,0.116666667,87,,0.150259067,71,,0.124343257,76,1.0,0.114074074,70,,0.128440367
崇明國中,臺南市立崇明國民中學,公立,東區,59,,0.118236473,68,3.0,0.142857143,75,16.0,0.174664107,74,1.0,0.145348837,53,,0.105577689,86,,0.198156682
德光中學,臺南市私立德光高級中學附設國中部,私立,東區,45,,0.100896861,41,1.0,0.095238095,60,,0.128755365,60,,0.131004367,45,,0.108173077,49,,0.116113744
忠孝國中,臺南市立忠孝國民中學,公立,東區,45,,0.142405063,31,,0.099358974,33,,0.107843137,24,,0.089552239,33,,0.130952381,25,,0.114155251
中山國中,臺南市立中山國民中學,公立,中西區,37,,0.101369863,31,,0.088825215,24,,0.072948328,37,,0.090464548,31,,0.080103359,17,,0.058219178
金城國中,臺南市立金城國民中學,公立,安平區,33,,0.094827586,26,,0.07761194,31,,0.08908046,39,,0.1015625,32,,0.098461538,19,,0.07421875
大橋國中,臺南市立大橋國民中學,公立,永康區,28,,0.061269147,28,,0.061674009,16,,0.034632035,23,,0.04989154,38,,0.088167053,32,,0.081632653
永康國中,臺南市立永康國民中學,公立,永康區,26,,0.048964218,32,1.0,0.069620253,24,,0.049586777,27,,0.055670103,28,,0.066666667,29,,0.081920904
歸仁國中,臺南市立歸仁國民中學,公立,歸仁區,24,,0.047808765,22,,0.052757794,17,,0.039351852,23,,0.054373522,25,,0.061728395,21,,0.069536424
南科實中,國立南科國際實驗高級中學附設國中部,公立,新市區,22,,0.099099099,27,,0.122727273,33,,0.138075314,26,,0.105691057,25,,0.109649123,34,,0.148471616
安南國中,臺南市立安南國民中學,公立,安南區,22,,0.058510638,14,,0.036939314,19,,0.0475,17,,0.034623218,15,,0.034562212,20,,0.046728972
港明高中,臺南市私立港明高級中學附設國中部,私立,西港區,18,,0.041002278,19,,0.042696629,19,,0.041125541,26,,0.048507463,25,,#VALUE!,23,,-
安平國中,臺南市立安平國民中學,公立,安平區,15,,0.055555556,38,,0.121794872,42,,0.139534884,32,,0.104234528,23,,0.078498294,31,,0.102310231
大成國中,臺南市立大成國民中學,公立,南區,15,,0.059760956,15,,0.059288538,16,,0.059259259,10,,0.0390625,18,,0.066420664,19,,0.106741573
新東國中,臺南市立新東國民中學,公立,新營區,15,,0.040106952,26,1.0,0.06835443,21,2.0,0.05721393,20,3.0,0.05974026,14,3.0,0.054313099,16,,0.055172414
瀛海高中,臺南市私立瀛海高級中學附設國中部,私立,安南區,15,,0.046153846,12,,0.035928144,13,,0.041935484,12,,0.035928144,16,1.0,#VALUE!,12,,-
海佃國中,臺南市立海佃國民中學,公立,安南區,15,,0.047770701,17,,0.050295858,19,,0.059190031,11,,0.03525641,11,,0.0472103,8,,0.043243243
新興國中,臺南市立新興國民中學,公立,南區,13,,0.066666667,10,,0.062893082,7,,0.058823529,5,,0.040983607,6,,0.060606061,2,,0.021505376
大灣高中,臺南市立大灣高級中學附設國中部,公立,永康區,11,,0.022869023,16,,0.036281179,12,,0.025263158,16,,0.032388664,15,,0.035046729,19,,0.054285714
慈濟高中,臺南市私立慈濟高級中學附設國中部,私立,安平區,11,,0.063218391,13,,0.077844311,18,,0.100558659,6,,0.038961039,-,,-,17,,-
文賢國中,臺南市立文賢國民中學,公立,北區,11,,0.192982456,13,1.0,0.071794872,9,,0.053254438,12,,0.075471698,7,,0.060344828,4,,0.043478261
昭明國中,臺南市私立昭明國民中學,私立,七股區,10,,0.032467532,8,,0.025974026,7,,0.022801303,5,,0.01618123,2,,0.006644518,7,,0.02991453
長榮中學,臺南市私立長榮高級中學附設國中部,私立,東區,10,,0.083333333,5,,0.042372881,5,,0.050505051,6,,0.085714286,7,,0.094594595,6,,0.107142857
安順國中,臺南市立安順國民中學,公立,安南區,9,,0.041474654,8,,0.036036036,7,,0.034482759,7,,0.031111111,9,,0.044554455,7,,0.037433155
新化國中,臺南市立新化國民中學,公立,新化區,8,,0.030534351,4,,0.015503876,3,,0.011952191,5,,0.022624434,2,,0.011299435,2,,0.011560694
聖功女中,臺南市私立聖功女子高級中學附設國中部,私立,北區,7,,0.029411765,15,,0.064377682,20,,0.093023256,16,,0.06779661,14,,0.069306931,12,,0.0591133
佳里國中,臺南市立佳里國民中學,公立,佳里區,6,,0.016528926,6,,0.016666667,9,,0.021377672,11,,0.033639144,7,,0.01971831,9,,0.030100334
興國高中,臺南市私立興國高級中學附設國中部,私立,新營區,6,,0.025,2,,0.008695652,11,,0.055837563,3,,0.013636364,12,,0.053571429,2,,0.011049724
安定國中,臺南市立安定國民中學,公立,安定區,6,,0.039473684,1,,0.007042254,2,,0.014925373,2,,0.015503876,2,,0.016260163,1,,0.012048193
和順國中,臺南市立和順國民中學,公立,安南區,5,,0.022123894,11,,0.042801556,3,,0.012875536,13,,0.054852321,12,,0.051724138,8,,0.037383178
仁德國中,臺南市立仁德國民中學,公立,仁德區,5,,0.024875622,8,,0.036697248,9,,0.048913043,4,,0.021978022,4,,0.020408163,6,,0.031746032
麻豆國中,臺南市立麻豆國民中學,公立,麻豆區,5,,0.020491803,4,,0.016260163,5,,0.019920319,5,,0.026315789,2,,0.01025641,5,,0.028901734
沙崙國中,臺南市立沙崙國民中學,公立,歸仁區,5,,0.046296296,5,,0.056179775,2,,0.01754386,3,,0.026086957,4,,0.035087719,3,,0.028037383
南新國中,臺南市立南新國民中學,公立,新營區,4,,0.013289037,3,,0.011627907,2,,0.008368201,5,,0.02283105,3,,0.015228426,-,,-
關廟國中,臺南市立關廟國民中學,公立,關廟區,4,,0.020942408,4,,0.024691358,11,,0.070967742,5,,0.033112583,4,,0.025316456,6,,0.049586777
南寧高中,臺南市立南寧高級中學附設國中部,公立,南區,4,,0.025157233,4,,0.03125,1,,0.007633588,2,,0.017241379,2,,0.015748031,3,,0.03
南化國中,臺南市立南化國民中學,公立,南化區,2,,0.083333333,1,,0.037037037,-,,-,-,,-,1,,0.04,-,,-
土城高中,臺南市立土城高級中學附設國中部,公立,安南區,2,,0.023529412,1,,0.009803922,-,,-,-,,-,1,,0.012820513,-,,-
善化國中,臺南市立善化國民中學,公立,善化區,2,,0.00921659,4,,0.017316017,2,,0.009756098,4,,0.019047619,2,,0.01183432,-,,-
白河國中,臺南市立白河國民中學,公立,白河區,2,,0.014814815,2,,0.014925373,2,,0.018691589,2,,0.021276596,1,,0.008695652,-,,-
東原國中,臺南市立東原國民中學,公立,東山區,2,,0.033333333,1,,0.021276596,1,,0.025641026,1,,0.032258065,-,,-,-,,-
新市國中,臺南市立新市國民中學,公立,新市區,2,,0.009049774,3,,0.013636364,3,,0.013953488,5,,0.024390244,4,,0.021621622,4,,0.021276596
延平國中,臺南市立延平國民中學,公立,北區,2,,0.026666667,2,,0.029850746,2,,0.040816327,3,,0.054545455,2,,0.039215686,3,,0.068181818
仁德文賢國中,臺南市立仁德文賢國民中學,公立,仁德區,2,,0.035087719,2,,0.032786885,-,,-,2,,0.029850746,2,,0.028985507,2,,0.038461538
成功國中,臺南市立成功國民中學,公立,北區,2,,0.041666667,2,,0.030769231,2,,0.025,2,,0.030769231,2,,0.027777778,2,,0.057142857
官田國中,臺南市立官田國民中學,公立,官田區,2,,0.04,2,,0.033898305,2,,0.048780488,2,,0.043478261,1,,0.026315789,2,,0.047619048
玉井國中,臺南市立玉井國民中學,公立,玉井區,2,,0.021052632,3,,0.03125,2,,0.025974026,2,,0.024691358,2,,0.02247191,2,,0.042553191
永仁高中,臺南市立永仁高級中學附設國中部,公立,永康區,2,,0.010204082,4,,0.021621622,2,,0.013071895,1,,0.006369427,3,,0.019480519,2,,0.015151515
山上國中,臺南市立山上國民中學,公立,山上區,2,,0.068965517,-,,-,-,,-,1,,0.058823529,2,,0.083333333,1,,0.047619048
將軍國中,臺南市立將軍國民中學,公立,將軍區,2,,0.047619048,1,,0.027777778,2,,0.076923077,1,,0.03125,2,,0.060606061,1,,0.025641026
西港國中,臺南市立西港國民中學,公立,西港區,2,,0.022988506,4,,0.043010753,1,,0.014084507,3,,0.040540541,2,,0.027027027,1,,0.012987013
六甲國中,臺南市立六甲國民中學,公立,六甲區,2,,0.010752688,2,,0.01459854,3,,0.021126761,2,,0.015503876,2,,0.016528926,1,,0.010869565
龍崎國中,臺南市立龍崎國民中學,公立,龍崎區,2,,0.142857143,1,,0.125,-,,-,-,,-,-,,-,1,,0.076923077
左鎮國中,臺南市立左鎮國民中學,公立,左鎮區,2,,0.074074074,1,,0.043478261,-,,-,-,,-,-,,-,1,,0.052631579
光華高中,臺南市私立光華高級中學國中部,私立,東區,1,,0.05,1,,0.058823529,3,,0.125,-,,-,2,,0.095238095,-,,-
下營國中,臺南市立下營國民中學,公立,下營區,1,,0.008928571,2,,0.018348624,1,,0.009345794,1,,0.014492754,2,,0.025974026,-,,-
後壁國中,臺南市立後壁國民中學,公立,後壁區,1,,0.014285714,-,,-,-,,-,2,,0.043478261,1,,0.018518519,-,,-
明達高中,臺南市私立明達高級中學附設國中部,私立,鹽水區,1,,0.014925373,-,,-,1,,0.014084507,-,,-,-,,-,-,,-
鹽水國中,臺南市立鹽水國民中學,公立,鹽水區,1,,0.01010101,1,,0.0125,1,,0.014925373,-,,-,-,,-,-,,-
南光高中,臺南市私立南光高級中學附設國中部,私立,新營區,1,,0.003412969,2,,0.00660066,5,,0.016233766,5,,0.017421603,10,,#VALUE!,4,,-
楠西國中,臺南市立楠西國民中學,公立,楠西區,1,,0.016666667,2,,0.05,2,,0.044444444,2,,0.055555556,-,,-,1,,0.033333333
